Title,Company,Location,Experience,Experience_Min,Experience_Max,Salary,Salary_Min,Salary_Max,Skills,Job_Category,Keyword,Source,Posted_Date,Work_Mode,Job_Link,Role_Category
Data Scientist AI,-,Hybrid - Bengaluru,3-8 Yrs,3.0,8.0,Not Available,,,"Artificial Intelligence, Computer Vision, Deep Learning, Machine Learning, Medical Imaging, Mri, Python, TensorFlow",Data Scientist,Data Scientist,Naukri,2 weeks ago,Hybrid,https://www.naukri.com/job-listings-data-scientist-ai-thompsons-hr-consulting-bengaluru-3-to-8-years-160726009069,Data Scientist
Power Bi Developer,.,Hybrid - Bengaluru,4-9 Yrs,4.0,9.0,10-20 Lacs PA,10.0,20.0,"Azure Databricks, Bi Development, ETL, Power BI, SQL, Schema, Star, Star Schema",Business Intelligence,Bi Developer,Naukri,3+ weeks ago,Hybrid,https://www.naukri.com/job-listings-power-bi-developer-n-k-consultants-bengaluru-4-to-9-years-020726004970,Business Intelligence
Sr Analyst / Sr SQL Developer,3LOQ,Mumbai,4-9 Yrs,4.0,9.0,Not Available,,,"Data Modeling, MySQL, Oracle, Performance Tuning, SSIS, Shell Scripting, Ssrs, Stored Procedures",SQL / Database,Sql,Naukri,3 weeks ago,On-site,https://www.naukri.com/job-listings-sr-analyst-sr-sql-developer-3loq-labs-mumbai-4-to-9-years-080726501295,SQL / Database
"Insights & Analytics Manager, APAC Marketing Centre",3M India,Bengaluru,8-10 Yrs,8.0,10.0,Not Available,,,"Analytics, Data Analysis, Data Management, Fmcg, Market Research, Portfolio Management, Relationship Management, Spss",Advanced Analytics,Analytics,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-insights-analytics-manager-apac-marketing-centre-3m-india-limited-bengaluru-8-to-10-years-190326504181,Advanced Analytics
"Insights & Analytics Manager, APAC Marketing Centre",3M India,Mumbai,8-10 Yrs,8.0,10.0,Not Available,,,"Analytics, Data Analysis, Data Management, Fmcg, Market Research, Portfolio Management, Relationship Management, Spss",Advanced Analytics,Analytics,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-insights-analytics-manager-apac-marketing-centre-3m-india-limited-mumbai-8-to-10-years-270326502487,Advanced Analytics
Power BI developer with D365,3i Infotech,Hyderabad(Gachibowli +1),3-7 Yrs,3.0,7.0,Not Available,,,"D365, Data Modeling, Dax, Modeling, Power BI, Power Query, Query, SQL",Business Intelligence,Power Bi,Naukri,2 weeks ago,On-site,https://www.naukri.com/job-listings-power-bi-developer-with-d365-3i-infotech-hyderabad-3-to-7-years-170726018513,Business Intelligence
Python Developer,47billion,Bengaluru,0-3 Yrs,0.0,3.0,Not Available,,,"Backend, Debugging, Django, Front End, Hp Data Protector, Html5, JavaScript, Side",Python Development,Python,Naukri,4 days ago,On-site,https://www.naukri.com/job-listings-python-developer-47-billion-information-technologies-private-limited-bengaluru-0-to-3-years-270726500368,Python Development
Business Intelligence Analyst,4S Advisory's,Mumbai,1-4 Yrs,1.0,4.0,Not Available,,,"Business Intelligence Analyst, CRM, Data Analysis, Financial Services, Market Research, SQL, Strategic Planning, Wealth Management",Business Intelligence,Business Intelligence,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-business-intelligence-analyst-4s-advisorys-mumbai-1-to-4-years-210726503691,Business Intelligence
Tealium Analytics Consultant,4labs Technologies,Remote,3-5 Yrs,3.0,5.0,Not Available,,,"Analytical, Data, Data Analysis, Data Analytics, Data Warehousing, Power BI, Python, Tagging",Consulting,Analytics,Naukri,3 weeks ago,Remote,https://www.naukri.com/job-listings-tealium-analytics-consultant-4labs-remote-3-to-5-years-090726507289,Consulting
Tableau Developer,4sight,Hyderabad,10-20 Yrs,10.0,20.0,Not Available,,,"Bigquery, Data, Data Visualization, Development, SQL, Snowflake, Tableau",Business Intelligence,Tableau,Naukri,2 weeks ago,On-site,https://www.naukri.com/job-listings-tableau-developer-4sight-hyderabad-10-to-20-years-140726019614,Business Intelligence
RESEARCH ANALYST,9Star Broking,Jodhpur,0-3 Yrs,0.0,3.0,Not Available,,,"Collections, Data, Data Collection, Market Research, Marketing, Research, Research Analyst, Sales",Research Analyst,Research Analyst,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-research-analyst-nine-star-broking-jodhpur-0-to-3-years-290923500083,Research Analyst
Senior Data and Analytics Engineer,9nexus,Remote,6-11 Yrs,6.0,11.0,Not Available,,,"Azure Databricks, Catalog, Delta Live Table, Microsoft Azure, PySpark, SQL, Unity Catalog, Unity3D",Data Engineering,Analytics Engineer,Naukri,2 weeks ago,Remote,https://www.naukri.com/job-listings-senior-data-and-analytics-engineer-9nexus-london-6-to-11-years-150726021099,Data Engineering
