Location,Job_Count,Percentage
Bengaluru,1425,30.46
Hyderabad,1001,21.4
Pune,583,12.46
Chennai,512,10.94
Mumbai,420,8.98
Gurugram,265,5.66
Delhi,156,3.33
Noida,156,3.33
Kolkata,150,3.21
Delhi NCR,84,1.8
San Francisco,79,1.69
Ahmedabad,74,1.58
United States,54,1.15
CA,53,1.13
India,48,1.03
US,48,1.03
Kochi,39,0.83
2 Locations,37,0.79
Nagpur,36,0.77
Mysuru,35,0.75
Navi Mumbai,33,0.71
Coimbatore,32,0.68
Belgaum,31,0.66
Hubli,31,0.66
Jaipur,31,0.66
Mangaluru,31,0.66
Bhubaneswar,28,0.6
Indore,28,0.6
Chandigarh,27,0.58
Canada,26,0.56
NY,26,0.56
Thane,26,0.56
3 Locations,23,0.49
San Jose,23,0.49
Vadodara,23,0.49
WA,23,0.49
US; Remote,21,0.45
Mohali,20,0.43
Surat,20,0.43
New York,18,0.38
Lucknow,17,0.36
Toronto,17,0.36
Nagercoil,15,0.32
California,14,0.3
USA,13,0.28
US; Seattle,12,0.26
Remote US,11,0.24
Seattle,11,0.24
Thiruvananthapuram,10,0.21
US; Palo Alto,10,0.21
United States - Remote,10,0.21
Visakhapatnam,10,0.21
BC,9,0.19
CA | New York City,9,0.19
Mexico - Mexico City,9,0.19
4 Locations,8,0.17
AB,8,0.17
Canada - Remote (ON,8,0.17
Japan - Tokyo,8,0.17
New York City,8,0.17
Ontario,8,0.17
Remote Canada,8,0.17
or NS Only),8,0.17
Faridabad,7,0.15
Ghaziabad,7,0.15
Greater Noida,7,0.15
Manesar,7,0.15
United States of America,7,0.15
5 Locations,6,0.13
CA • New York,6,0.13
CA; New York,6,0.13
Nagar,6,0.13
Nashik,6,0.13
United Kingdom,6,0.13
Virginia - Mclean,6,0.13
6 Locations,5,0.11
Aurangabad,5,0.11
Brazil,5,0.11
Bucharest,5,0.11
London,5,0.11
NY | Seattle,5,0.11
NY • United States,5,0.11
Singapore - Singapore,5,0.11
United Kingdom - London,5,0.11
China,4,0.09
DC,4,0.09
Hyderabad(Madhapur),4,0.09
Illinois - Chicago,4,0.09
Kozhikode,4,0.09
Mexico,4,0.09
ON,4,0.09
Rajkot,4,0.09
Salem,4,0.09
San Francisco Bay Area,4,0.09
UK,4,0.09
Udaipur,4,0.09
7 Locations,3,0.06
Bhopal,3,0.06
Chicago,3,0.06
Dadra & Nagar Haveli,3,0.06
Daman & Diu,3,0.06
France - Paris,3,0.06
Gandhinagar,3,0.06
Illinois,3,0.06
In-Office,3,0.06
Ireland - Dublin,3,0.06
Jammu,3,0.06
Kanpur,3,0.06
Lakshadweep,3,0.06
Ludhiana,3,0.06
Madurai,3,0.06
Malad,3,0.06
Mountain View,3,0.06
NY; San Francisco,3,0.06
Netherlands - Amsterdam,3,0.06
Patna,3,0.06
Raipur,3,0.06
Saudi Arabia,3,0.06
Sholinganallur,3,0.06
The Netherlands,3,0.06
Vijayawada,3,0.06
Agra,2,0.04
Ajmer,2,0.04
Akola,2,0.04
Argentina - Buenos Aires,2,0.04
Bangalore/ Bengaluru,2,0.04
Bellevue,2,0.04
Bengaluru(Whitefield),2,0.04
Brazil - Sao Paulo,2,0.04
CA; Seattle,2,0.04
California; San Francisco,2,0.04
County London,2,0.04
Dublin,2,0.04
England,2,0.04
Goregaon,2,0.04
Guntur,2,0.04
Gurgaon/Gurugram,2,0.04
Gurugram(Sector 44),2,0.04
Hyderabad(Kondapur),2,0.04
Hyderabad/ Secunderabad,2,0.04
India - Bangalore,2,0.04
Ireland,2,0.04
Jamnagar,2,0.04
Japan,2,0.04
Jodhpur,2,0.04
Kadipur,2,0.04
Kakinada,2,0.04
Kalyani,2,0.04
Kanyakumari,2,0.04
Korea,2,0.04
Madhapur,2,0.04
Mexico City,2,0.04
Mumbai(Andheri East),2,0.04
Mumbai(Bandra Kurla Complex),2,0.04
Mumbai(Lower Parel),2,0.04
N/A,2,0.04
NY; Washington,2,0.04
Nellore,2,0.04
New Delhi(Ghitorni),2,0.04
New Delhi(Pitampura),2,0.04
Nizamabad,2,0.04
Noida(Sector 125),2,0.04
Noida(Sector 135),2,0.04
North & Middle Andaman,2,0.04
Panaji,2,0.04
Panchkula,2,0.04
Panipat,2,0.04
Philippines - Metro Manila,2,0.04
Pune(Viman Nagar),2,0.04
Ranchi,2,0.04
Remote-USA,2,0.04
Republic of - Seoul,2,0.04
Rupnagar,2,0.04
Satara,2,0.04
Saudi Arabia - Riyadh,2,0.04
Shamirpet,2,0.04
Singapore,2,0.04
São Paulo,2,0.04
Thailand - Bangkok,2,0.04
Tiruchirapalli,2,0.04
Tiruppur,2,0.04
Tokyo,2,0.04
Tokyo Prefecture,2,0.04
Uppal,2,0.04
Vapi,2,0.04
Varanasi,2,0.04
WA; San Francisco,2,0.04
Warangal,2,0.04
10 Locations,1,0.02
