Role_Category,Job_Count,Percentage
Other,393,31.74
Software Development,131,10.58
Consulting,126,10.18
Product Management,111,8.97
Other Analyst,74,5.98
Machine Learning / AI,73,5.9
Data Scientist,61,4.93
Business Development,39,3.15
Data Engineering,35,2.83
Site Reliability Engineering,30,2.42
Finance / Accounting,29,2.34
Account Management,26,2.1
Project / Program Management,25,2.02
Customer Success,21,1.7
Advanced Analytics,19,1.53
Security,19,1.53
Solutions Architecture,9,0.73
Data Analyst,6,0.48
ETL / Data Integration,3,0.24
Business Analyst,2,0.16
Internship,2,0.16
QA / Testing,2,0.16
Research Analyst,2,0.16
